name,id,release_date,total_tracks,link,img,band_spotify_id,band_spotify_name,band_spotify_popularity,band_spotify_link,band_genre,genres
Put Up or Shut Up (Deluxe Version),3xuCwUsfeMX6roY0s9SSmJ,2008-05-20,9,https://open.spotify.com/album/3xuCwUsfeMX6roY0s9SSmJ,https://i.scdn.co/image/ab67616d0000b2737c38c924cbfe71e29432b5ca,46gyXjRIvN1NL1eCB8GBxo,All Time Low,73,https://api.spotify.com/v1/artists/46gyXjRIvN1NL1eCB8GBxo,pop punk,"['pop punk', 'powerpop', 'rock', 'punk', 'emo']"
"So Wrong, It's Right",0H4ELcHequ3OligrjWfrZP,2007-09-25,12,https://open.spotify.com/album/0H4ELcHequ3OligrjWfrZP,https://i.scdn.co/image/ab67616d0000b273c8913cd7b91bb7f6bbbec305,46gyXjRIvN1NL1eCB8GBxo,All Time Low,73,https://api.spotify.com/v1/artists/46gyXjRIvN1NL1eCB8GBxo,pop punk,"['pop punk', 'powerpop', 'rock', 'punk', 'emo']"
Put Up Or Shut Up,47boQgN4dboq2f0IcvI4Bt,2006-07-25,7,https://open.spotify.com/album/47boQgN4dboq2f0IcvI4Bt,https://i.scdn.co/image/ab67616d0000b273466829e3112c361f1b00f4a0,46gyXjRIvN1NL1eCB8GBxo,All Time Low,73,https://api.spotify.com/v1/artists/46gyXjRIvN1NL1eCB8GBxo,pop punk,"['pop punk', 'powerpop', 'rock', 'punk', 'emo']"
Heaven :x: Hell,4a4vGdTg7UTfNluS7QdFsF,2024-03-29,20,https://open.spotify.com/album/4a4vGdTg7UTfNluS7QdFsF,https://i.scdn.co/image/ab67616d0000b273d4109eee9ce4b4be92cbac39,0qT79UgT5tY4yudH9VfsdT,Sum 41,73,https://api.spotify.com/v1/artists/0qT79UgT5tY4yudH9VfsdT,pop punk,"['punk rock', 'pop punk', 'punk', 'rock', 'alternative']"
Order In Decline,7j11BWRSLFBFUVR4EPG6WD,2019-07-19,10,https://open.spotify.com/album/7j11BWRSLFBFUVR4EPG6WD,https://i.scdn.co/image/ab67616d0000b273494d095cc4f1cd9eb06a0d1f,0qT79UgT5tY4yudH9VfsdT,Sum 41,73,https://api.spotify.com/v1/artists/0qT79UgT5tY4yudH9VfsdT,pop punk,"['punk rock', 'pop punk', 'punk', 'rock', 'alternative']"
13 Voices,3eCvEIqh8lZzfQbXt9Zndb,2016-10-07,10,https://open.spotify.com/album/3eCvEIqh8lZzfQbXt9Zndb,https://i.scdn.co/image/ab67616d0000b273f206fb78ea18c379191dba77,0qT79UgT5tY4yudH9VfsdT,Sum 41,73,https://api.spotify.com/v1/artists/0qT79UgT5tY4yudH9VfsdT,pop punk,"['punk rock', 'pop punk', 'punk', 'rock', 'alternative']"
Screaming Bloody Murder,17UgmsH23ijxLEWerAINUg,2011-01-01,14,https://open.spotify.com/album/17UgmsH23ijxLEWerAINUg,https://i.scdn.co/image/ab67616d0000b2733df962b5b6922da3e3d0899b,0qT79UgT5tY4yudH9VfsdT,Sum 41,73,https://api.spotify.com/v1/artists/0qT79UgT5tY4yudH9VfsdT,pop punk,"['punk rock', 'pop punk', 'punk', 'rock', 'alternative']"
Live At The House Of Blues: Cleveland 9.15.07,521uq2hRa1c2dC2bYAp21n,2011-01-01,16,https://open.spotify.com/album/521uq2hRa1c2dC2bYAp21n,https://i.scdn.co/image/ab67616d0000b273206c1b8381fbfc23b0a6adce,0qT79UgT5tY4yudH9VfsdT,Sum 41,73,https://api.spotify.com/v1/artists/0qT79UgT5tY4yudH9VfsdT,pop punk,"['punk rock', 'pop punk', 'punk', 'rock', 'alternative']"
Underclass Hero,4c7DUgNmwI4KZ5fcUbFjYt,2007-01-01,15,https://open.spotify.com/album/4c7DUgNmwI4KZ5fcUbFjYt,https://i.scdn.co/image/ab67616d0000b273c43b41ad3a666a359d29d70a,0qT79UgT5tY4yudH9VfsdT,Sum 41,73,https://api.spotify.com/v1/artists/0qT79UgT5tY4yudH9VfsdT,pop punk,"['punk rock', 'pop punk', 'punk', 'rock', 'alternative']"
Chuck,1aG8QbhABVtVxNlAkk8VBW,2004-10-12,14,https://open.spotify.com/album/1aG8QbhABVtVxNlAkk8VBW,https://i.scdn.co/image/ab67616d0000b273cb38dd3dba8a0801bc1ee03a,0qT79UgT5tY4yudH9VfsdT,Sum 41,73,https://api.spotify.com/v1/artists/0qT79UgT5tY4yudH9VfsdT,pop punk,"['punk rock', 'pop punk', 'punk', 'rock', 'alternative']"
Does This Look Infected?,6sYVlvyWjlwvVHKpvXxqdG,2002-01-01,14,https://open.spotify.com/album/6sYVlvyWjlwvVHKpvXxqdG,https://i.scdn.co/image/ab67616d0000b273d2a8ad60c497e7f365f3b8a2,0qT79UgT5tY4yudH9VfsdT,Sum 41,73,https://api.spotify.com/v1/artists/0qT79UgT5tY4yudH9VfsdT,pop punk,"['punk rock', 'pop punk', 'punk', 'rock', 'alternative']"
All Killer No Filler (UK version),5dHFqxWLnnXPsvnPJaTuFD,2001-10-08,14,https://open.spotify.com/album/5dHFqxWLnnXPsvnPJaTuFD,https://i.scdn.co/image/ab67616d0000b27398fd9b6faf26076685b9294d,0qT79UgT5tY4yudH9VfsdT,Sum 41,73,https://api.spotify.com/v1/artists/0qT79UgT5tY4yudH9VfsdT,pop punk,"['punk rock', 'pop punk', 'punk', 'rock', 'alternative']"
"All Killer, No Filler",2UCWsnmZEVg9HhnMeKTsim,2001-01-01,13,https://open.spotify.com/album/2UCWsnmZEVg9HhnMeKTsim,https://i.scdn.co/image/ab67616d0000b2739a482180e6a306229bff49dc,0qT79UgT5tY4yudH9VfsdT,Sum 41,73,https://api.spotify.com/v1/artists/0qT79UgT5tY4yudH9VfsdT,pop punk,"['punk rock', 'pop punk', 'punk', 'rock', 'alternative']"
Half Hour Of Power,5iyuYd9BFLRoKHN3onmdMH,2000-06-27,11,https://open.spotify.com/album/5iyuYd9BFLRoKHN3onmdMH,https://i.scdn.co/image/ab67616d0000b27320445015e7a7737c4f7226da,0qT79UgT5tY4yudH9VfsdT,Sum 41,73,https://api.spotify.com/v1/artists/0qT79UgT5tY4yudH9VfsdT,pop punk,"['punk rock', 'pop punk', 'punk', 'rock', 'alternative']"
ONE MORE TIME... PART-2,3wU2wXacpwqetSRloR0nMX,2024-09-06,27,https://open.spotify.com/album/3wU2wXacpwqetSRloR0nMX,https://i.scdn.co/image/ab67616d0000b2739066894d9eb3346a780ac276,6FBDaR13swtiWwGhX1WQsP,blink-182,80,https://api.spotify.com/v1/artists/6FBDaR13swtiWwGhX1WQsP,pop punk,"['punk rock', 'pop punk', 'punk', 'rock', 'alternative']"
ONE MORE TIME...,00txDYFrU4LjWqwKE8iQJA,2023-10-27,19,https://open.spotify.com/album/00txDYFrU4LjWqwKE8iQJA,https://i.scdn.co/image/ab67616d0000b273d07226d60768eb99f38997f8,6FBDaR13swtiWwGhX1WQsP,blink-182,80,https://api.spotify.com/v1/artists/6FBDaR13swtiWwGhX1WQsP,pop punk,"['punk rock', 'pop punk', 'punk', 'rock', 'alternative']"
NINE,4gARZz9eV7zbGbtOjhVTPF,2019-09-20,15,https://open.spotify.com/album/4gARZz9eV7zbGbtOjhVTPF,https://i.scdn.co/image/ab67616d0000b273198542728b101474c4afe0a1,6FBDaR13swtiWwGhX1WQsP,blink-182,80,https://api.spotify.com/v1/artists/6FBDaR13swtiWwGhX1WQsP,pop punk,"['punk rock', 'pop punk', 'punk', 'rock', 'alternative']"
California (Deluxe Edition),0fmq1b2T3bjRyTsigDWUP6,2016-07-01,28,https://open.spotify.com/album/0fmq1b2T3bjRyTsigDWUP6,https://i.scdn.co/image/ab67616d0000b273be61aa4720d1bcf94ef1cbaf,6FBDaR13swtiWwGhX1WQsP,blink-182,80,https://api.spotify.com/v1/artists/6FBDaR13swtiWwGhX1WQsP,pop punk,"['punk rock', 'pop punk', 'punk', 'rock', 'alternative']"
California,2pzOAoHNZiVE6Pxo3PQMhE,2016-07-01,16,https://open.spotify.com/album/2pzOAoHNZiVE6Pxo3PQMhE,https://i.scdn.co/image/ab67616d0000b273975116f966d8d19ff955029c,6FBDaR13swtiWwGhX1WQsP,blink-182,80,https://api.spotify.com/v1/artists/6FBDaR13swtiWwGhX1WQsP,pop punk,"['punk rock', 'pop punk', 'punk', 'rock', 'alternative']"
Neighborhoods (Deluxe Explicit Version),0KjLbdlJYvtzXjGTwPy3lv,2011-09-27,14,https://open.spotify.com/album/0KjLbdlJYvtzXjGTwPy3lv,https://i.scdn.co/image/ab67616d0000b273ab8afa7c4e5af4d75b647b6e,6FBDaR13swtiWwGhX1WQsP,blink-182,80,https://api.spotify.com/v1/artists/6FBDaR13swtiWwGhX1WQsP,pop punk,"['punk rock', 'pop punk', 'punk', 'rock', 'alternative']"
blink-182,4hBTxv4QRPePXCFcEI7Vjp,2003-11-01,16,https://open.spotify.com/album/4hBTxv4QRPePXCFcEI7Vjp,https://i.scdn.co/image/ab67616d0000b2730538b48c180256e0bdd8363f,6FBDaR13swtiWwGhX1WQsP,blink-182,80,https://api.spotify.com/v1/artists/6FBDaR13swtiWwGhX1WQsP,pop punk,"['punk rock', 'pop punk', 'punk', 'rock', 'alternative']"
